2022/7/31 6:22 UPDATE
DATE,TIME,é¿ê—(ñúkW)
2022/1/1,0:00,1098
2022/1/1,1:00,1095
2022/1/1,2:00,1104
2022/1/1,3:00,1116
2022/1/1,4:00,1119
2022/1/1,5:00,1109
2022/1/1,6:00,1085
2022/1/1,7:00,1057
2022/1/1,8:00,1081
2022/1/1,9:00,1066
2022/1/1,10:00,1037
2022/1/1,11:00,1016
2022/1/1,12:00,1009
2022/1/1,13:00,981
2022/1/1,14:00,971
2022/1/1,15:00,1000
2022/1/1,16:00,1046
2022/1/1,17:00,1112
2022/1/1,18:00,1110
2022/1/1,19:00,1094
2022/1/1,20:00,1074
2022/1/1,21:00,1051
2022/1/1,22:00,1000
2022/1/1,23:00,1011
2022/1/2,0:00,981
2022/1/2,1:00,996
2022/1/2,2:00,1022
2022/1/2,3:00,1032
2022/1/2,4:00,1032
2022/1/2,5:00,1026
2022/1/2,6:00,1007
2022/1/2,7:00,995
2022/1/2,8:00,1030
2022/1/2,9:00,1025
2022/1/2,10:00,982
2022/1/2,11:00,933
2022/1/2,12:00,899
2022/1/2,13:00,858
2022/1/2,14:00,852
2022/1/2,15:00,888
2022/1/2,16:00,968
2022/1/2,17:00,1036
2022/1/2,18:00,1041
2022/1/2,19:00,1033
2022/1/2,20:00,1008
2022/1/2,21:00,995
2022/1/2,22:00,946
2022/1/2,23:00,963
2022/1/3,0:00,939
2022/1/3,1:00,965
2022/1/3,2:00,1002
2022/1/3,3:00,1023
2022/1/3,4:00,1033
2022/1/3,5:00,1029
2022/1/3,6:00,1017
2022/1/3,7:00,1009
2022/1/3,8:00,1040
2022/1/3,9:00,1030
2022/1/3,10:00,989
2022/1/3,11:00,965
2022/1/3,12:00,951
2022/1/3,13:00,939
2022/1/3,14:00,936
2022/1/3,15:00,965
2022/1/3,16:00,1037
2022/1/3,17:00,1116
2022/1/3,18:00,1127
2022/1/3,19:00,1109
2022/1/3,20:00,1083
2022/1/3,21:00,1054
2022/1/3,22:00,985
2022/1/3,23:00,995
2022/1/4,0:00,968
2022/1/4,1:00,987
2022/1/4,2:00,1022
2022/1/4,3:00,1039
2022/1/4,4:00,1055
2022/1/4,5:00,1074
2022/1/4,6:00,1108
2022/1/4,7:00,1109
2022/1/4,8:00,1190
2022/1/4,9:00,1225
2022/1/4,10:00,1210
2022/1/4,11:00,1204
2022/1/4,12:00,1204
2022/1/4,13:00,1190
2022/1/4,14:00,1182
2022/1/4,15:00,1209
2022/1/4,16:00,1251
2022/1/4,17:00,1294
2022/1/4,18:00,1283
2022/1/4,19:00,1255
2022/1/4,20:00,1216
2022/1/4,21:00,1170
2022/1/4,22:00,1097
2022/1/4,23:00,1091
2022/1/5,0:00,1060
2022/1/5,1:00,1087
2022/1/5,2:00,1118
2022/1/5,3:00,1136
2022/1/5,4:00,1152
2022/1/5,5:00,1184
2022/1/5,6:00,1237
2022/1/5,7:00,1247
2022/1/5,8:00,1332
2022/1/5,9:00,1353
2022/1/5,10:00,1320
2022/1/5,11:00,1288
2022/1/5,12:00,1236
2022/1/5,13:00,1245
2022/1/5,14:00,1235
2022/1/5,15:00,1259
2022/1/5,16:00,1325
2022/1/5,17:00,1357
2022/1/5,18:00,1340
2022/1/5,19:00,1305
2022/1/5,20:00,1263
2022/1/5,21:00,1208
2022/1/5,22:00,1139
2022/1/5,23:00,1133
2022/1/6,0:00,1093
2022/1/6,1:00,1121
2022/1/6,2:00,1147
2022/1/6,3:00,1168
2022/1/6,4:00,1187
2022/1/6,5:00,1228
2022/1/6,6:00,1286
2022/1/6,7:00,1296
2022/1/6,8:00,1365
2022/1/6,9:00,1385
2022/1/6,10:00,1331
2022/1/6,11:00,1289
2022/1/6,12:00,1221
2022/1/6,13:00,1256
2022/1/6,14:00,1256
2022/1/6,15:00,1268
2022/1/6,16:00,1322
2022/1/6,17:00,1352
2022/1/6,18:00,1339
2022/1/6,19:00,1315
2022/1/6,20:00,1273
2022/1/6,21:00,1216
2022/1/6,22:00,1157
2022/1/6,23:00,1148
2022/1/7,0:00,1128
2022/1/7,1:00,1170
2022/1/7,2:00,1197
2022/1/7,3:00,1209
2022/1/7,4:00,1214
2022/1/7,5:00,1256
2022/1/7,6:00,1300
2022/1/7,7:00,1308
2022/1/7,8:00,1393
2022/1/7,9:00,1428
2022/1/7,10:00,1395
2022/1/7,11:00,1360
2022/1/7,12:00,1301
2022/1/7,13:00,1328
2022/1/7,14:00,1321
2022/1/7,15:00,1341
2022/1/7,16:00,1397
2022/1/7,17:00,1409
2022/1/7,18:00,1381
2022/1/7,19:00,1329
2022/1/7,20:00,1277
2022/1/7,21:00,1221
2022/1/7,22:00,1155
2022/1/7,23:00,1149
2022/1/8,0:00,1110
2022/1/8,1:00,1124
2022/1/8,2:00,1154
2022/1/8,3:00,1165
2022/1/8,4:00,1173
2022/1/8,5:00,1173
2022/1/8,6:00,1180
2022/1/8,7:00,1169
2022/1/8,8:00,1211
2022/1/8,9:00,1219
2022/1/8,10:00,1169
2022/1/8,11:00,1138
2022/1/8,12:00,1087
2022/1/8,13:00,1088
2022/1/8,14:00,1070
2022/1/8,15:00,1072
2022/1/8,16:00,1138
2022/1/8,17:00,1196
2022/1/8,18:00,1198
2022/1/8,19:00,1170
2022/1/8,20:00,1142
2022/1/8,21:00,1102
2022/1/8,22:00,1060
2022/1/8,23:00,1063
2022/1/9,0:00,1031
2022/1/9,1:00,1049
2022/1/9,2:00,1080
2022/1/9,3:00,1092
2022/1/9,4:00,1097
2022/1/9,5:00,1095
2022/1/9,6:00,1077
2022/1/9,7:00,1055
2022/1/9,8:00,1075
2022/1/9,9:00,1071
2022/1/9,10:00,1028
2022/1/9,11:00,1009
2022/1/9,12:00,1002
2022/1/9,13:00,979
2022/1/9,14:00,969
2022/1/9,15:00,993
2022/1/9,16:00,1063
2022/1/9,17:00,1130
2022/1/9,18:00,1136
2022/1/9,19:00,1114
2022/1/9,20:00,1081
2022/1/9,21:00,1034
2022/1/9,22:00,981
2022/1/9,23:00,974
2022/1/10,0:00,955
2022/1/10,1:00,981
2022/1/10,2:00,1022
2022/1/10,3:00,1049
2022/1/10,4:00,1062
2022/1/10,5:00,1068
2022/1/10,6:00,1079
2022/1/10,7:00,1079
2022/1/10,8:00,1129
2022/1/10,9:00,1144
2022/1/10,10:00,1090
2022/1/10,11:00,1056
2022/1/10,12:00,1028
2022/1/10,13:00,1004
2022/1/10,14:00,1010
2022/1/10,15:00,1027
2022/1/10,16:00,1114
2022/1/10,17:00,1202
2022/1/10,18:00,1206
2022/1/10,19:00,1196
2022/1/10,20:00,1172
2022/1/10,21:00,1130
2022/1/10,22:00,1060
2022/1/10,23:00,1063
2022/1/11,0:00,1043
2022/1/11,1:00,1068
2022/1/11,2:00,1104
2022/1/11,3:00,1131
2022/1/11,4:00,1145
2022/1/11,5:00,1185
2022/1/11,6:00,1231
2022/1/11,7:00,1239
2022/1/11,8:00,1337
2022/1/11,9:00,1389
2022/1/11,10:00,1379
2022/1/11,11:00,1371
2022/1/11,12:00,1313
2022/1/11,13:00,1345
2022/1/11,14:00,1341
2022/1/11,15:00,1335
2022/1/11,16:00,1361
2022/1/11,17:00,1346
2022/1/11,18:00,1302
2022/1/11,19:00,1248
2022/1/11,20:00,1204
2022/1/11,21:00,1141
2022/1/11,22:00,1083
2022/1/11,23:00,1082
2022/1/12,0:00,1064
2022/1/12,1:00,1102
2022/1/12,2:00,1140
2022/1/12,3:00,1180
2022/1/12,4:00,1202
2022/1/12,5:00,1244
2022/1/12,6:00,1315
2022/1/12,7:00,1330
2022/1/12,8:00,1417
2022/1/12,9:00,1460
2022/1/12,10:00,1443
2022/1/12,11:00,1432
2022/1/12,12:00,1365
2022/1/12,13:00,1396
2022/1/12,14:00,1375
2022/1/12,15:00,1388
2022/1/12,16:00,1414
2022/1/12,17:00,1424
2022/1/12,18:00,1400
2022/1/12,19:00,1356
2022/1/12,20:00,1306
2022/1/12,21:00,1247
2022/1/12,22:00,1172
2022/1/12,23:00,1163
2022/1/13,0:00,1125
2022/1/13,1:00,1148
2022/1/13,2:00,1174
2022/1/13,3:00,1191
2022/1/13,4:00,1215
2022/1/13,5:00,1250
2022/1/13,6:00,1299
2022/1/13,7:00,1292
2022/1/13,8:00,1366
2022/1/13,9:00,1399
2022/1/13,10:00,1370
2022/1/13,11:00,1340
2022/1/13,12:00,1290
2022/1/13,13:00,1349
2022/1/13,14:00,1341
2022/1/13,15:00,1389
2022/1/13,16:00,1409
2022/1/13,17:00,1437
2022/1/13,18:00,1407
2022/1/13,19:00,1366
2022/1/13,20:00,1317
2022/1/13,21:00,1263
2022/1/13,22:00,1197
2022/1/13,23:00,1185
2022/1/14,0:00,1144
2022/1/14,1:00,1169
2022/1/14,2:00,1198
2022/1/14,3:00,1219
2022/1/14,4:00,1238
2022/1/14,5:00,1285
2022/1/14,6:00,1339
2022/1/14,7:00,1338
2022/1/14,8:00,1413
2022/1/14,9:00,1448
2022/1/14,10:00,1416
2022/1/14,11:00,1398
2022/1/14,12:00,1340
2022/1/14,13:00,1363
2022/1/14,14:00,1358
2022/1/14,15:00,1391
2022/1/14,16:00,1419
2022/1/14,17:00,1442
2022/1/14,18:00,1409
2022/1/14,19:00,1350
2022/1/14,20:00,1296
2022/1/14,21:00,1236
2022/1/14,22:00,1164
2022/1/14,23:00,1153
2022/1/15,0:00,1107
2022/1/15,1:00,1120
2022/1/15,2:00,1136
2022/1/15,3:00,1145
2022/1/15,4:00,1144
2022/1/15,5:00,1145
2022/1/15,6:00,1148
2022/1/15,7:00,1139
2022/1/15,8:00,1181
2022/1/15,9:00,1188
2022/1/15,10:00,1162
2022/1/15,11:00,1144
2022/1/15,12:00,1101
2022/1/15,13:00,1101
2022/1/15,14:00,1091
2022/1/15,15:00,1097
2022/1/15,16:00,1146
2022/1/15,17:00,1186
2022/1/15,18:00,1173
2022/1/15,19:00,1138
2022/1/15,20:00,1109
2022/1/15,21:00,1062
2022/1/15,22:00,1014
2022/1/15,23:00,1021
2022/1/16,0:00,999
2022/1/16,1:00,1031
2022/1/16,2:00,1058
2022/1/16,3:00,1079
2022/1/16,4:00,1079
2022/1/16,5:00,1077
2022/1/16,6:00,1062
2022/1/16,7:00,1045
2022/1/16,8:00,1076
2022/1/16,9:00,1080
2022/1/16,10:00,1051
2022/1/16,11:00,1031
2022/1/16,12:00,1021
2022/1/16,13:00,999
2022/1/16,14:00,994
2022/1/16,15:00,1006
2022/1/16,16:00,1065
2022/1/16,17:00,1145
2022/1/16,18:00,1153
2022/1/16,19:00,1133
2022/1/16,20:00,1099
2022/1/16,21:00,1051
2022/1/16,22:00,989
2022/1/16,23:00,990
2022/1/17,0:00,968
2022/1/17,1:00,999
2022/1/17,2:00,1039
2022/1/17,3:00,1073
2022/1/17,4:00,1095
2022/1/17,5:00,1136
2022/1/17,6:00,1186
2022/1/17,7:00,1203
2022/1/17,8:00,1279
2022/1/17,9:00,1316
2022/1/17,10:00,1295
2022/1/17,11:00,1280
2022/1/17,12:00,1230
2022/1/17,13:00,1254
2022/1/17,14:00,1266
2022/1/17,15:00,1288
2022/1/17,16:00,1338
2022/1/17,17:00,1369
2022/1/17,18:00,1355
2022/1/17,19:00,1317
2022/1/17,20:00,1277
2022/1/17,21:00,1217
2022/1/17,22:00,1160
2022/1/17,23:00,1158
2022/1/18,0:00,1122
2022/1/18,1:00,1148
2022/1/18,2:00,1190
2022/1/18,3:00,1215
2022/1/18,4:00,1232
2022/1/18,5:00,1280
2022/1/18,6:00,1344
2022/1/18,7:00,1331
2022/1/18,8:00,1431
2022/1/18,9:00,1483
2022/1/18,10:00,1461
2022/1/18,11:00,1439
2022/1/18,12:00,1373
2022/1/18,13:00,1393
2022/1/18,14:00,1389
2022/1/18,15:00,1407
2022/1/18,16:00,1433
2022/1/18,17:00,1468
2022/1/18,18:00,1446
2022/1/18,19:00,1397
2022/1/18,20:00,1343
2022/1/18,21:00,1275
2022/1/18,22:00,1202
2022/1/18,23:00,1193
2022/1/19,0:00,1155
2022/1/19,1:00,1181
2022/1/19,2:00,1204
2022/1/19,3:00,1225
2022/1/19,4:00,1244
2022/1/19,5:00,1296
2022/1/19,6:00,1351
2022/1/19,7:00,1332
2022/1/19,8:00,1404
2022/1/19,9:00,1413
2022/1/19,10:00,1365
2022/1/19,11:00,1328
2022/1/19,12:00,1254
2022/1/19,13:00,1284
2022/1/19,14:00,1278
2022/1/19,15:00,1301
2022/1/19,16:00,1344
2022/1/19,17:00,1387
2022/1/19,18:00,1379
2022/1/19,19:00,1336
2022/1/19,20:00,1280
2022/1/19,21:00,1224
2022/1/19,22:00,1159
2022/1/19,23:00,1153
2022/1/20,0:00,1114
2022/1/20,1:00,1137
2022/1/20,2:00,1163
2022/1/20,3:00,1187
2022/1/20,4:00,1211
2022/1/20,5:00,1260
2022/1/20,6:00,1321
2022/1/20,7:00,1315
2022/1/20,8:00,1394
2022/1/20,9:00,1426
2022/1/20,10:00,1374
2022/1/20,11:00,1348
2022/1/20,12:00,1303
2022/1/20,13:00,1335
2022/1/20,14:00,1329
2022/1/20,15:00,1355
2022/1/20,16:00,1375
2022/1/20,17:00,1407
2022/1/20,18:00,1387
2022/1/20,19:00,1343
2022/1/20,20:00,1290
2022/1/20,21:00,1234
2022/1/20,22:00,1163
2022/1/20,23:00,1156
2022/1/21,0:00,1121
2022/1/21,1:00,1140
2022/1/21,2:00,1185
