datetime,coal,wind,hydro,solar,other,oil,nuclear,gas,year,month,month_date,weekday,hour,date,unit
2022-01-01 00:00:00,89278,62075.0,43320.0,2966.0,8175.0,2372.0,96334.0,149078.0,2022,1,01-01,Saturday,0,2022-01-01,Mwh
2022-01-01 01:00:00,87322,64406.0,44031.0,1597.0,9075.0,2269.0,96361.0,149238.0,2022,1,01-01,Saturday,1,2022-01-01,Mwh
2022-01-01 02:00:00,84384,64000.0,43985.0,110.0,8911.0,2238.0,96319.0,143122.0,2022,1,01-01,Saturday,2,2022-01-01,Mwh
2022-01-01 03:00:00,84015,60905.0,40196.0,109.0,8799.0,2221.0,96326.0,136833.0,2022,1,01-01,Saturday,3,2022-01-01,Mwh
2022-01-01 04:00:00,82156,59715.0,36502.0,81.0,8626.0,1965.0,96309.0,129067.0,2022,1,01-01,Saturday,4,2022-01-01,Mwh
2022-01-01 05:00:00,82039,56047.0,33059.0,59.0,8117.0,1897.0,96375.0,128093.0,2022,1,01-01,Saturday,5,2022-01-01,Mwh
2022-01-01 06:00:00,78877,57681.0,30442.0,56.0,7537.0,1897.0,96303.0,114612.0,2022,1,01-01,Saturday,6,2022-01-01,Mwh
2022-01-01 07:00:00,76559,57052.0,29650.0,51.0,7449.0,1887.0,96308.0,108897.0,2022,1,01-01,Saturday,7,2022-01-01,Mwh
2022-01-01 08:00:00,74372,57862.0,27757.0,50.0,7316.0,1877.0,96336.0,103401.0,2022,1,01-01,Saturday,8,2022-01-01,Mwh
2022-01-01 09:00:00,72299,59471.0,26702.0,66.0,7021.0,1872.0,96328.0,98085.0,2022,1,01-01,Saturday,9,2022-01-01,Mwh
2022-01-01 10:00:00,70618,60584.0,26421.0,48.0,6590.0,1869.0,96369.0,95495.0,2022,1,01-01,Saturday,10,2022-01-01,Mwh
2022-01-01 11:00:00,69009,62261.0,25970.0,25.0,6585.0,1880.0,96313.0,95384.0,2022,1,01-01,Saturday,11,2022-01-01,Mwh
2022-01-01 12:00:00,70672,61318.0,26726.0,24.0,6746.0,1930.0,96313.0,97602.0,2022,1,01-01,Saturday,12,2022-01-01,Mwh
2022-01-01 13:00:00,71908,61514.0,27906.0,243.0,7469.0,1270.0,96320.0,100312.0,2022,1,01-01,Saturday,13,2022-01-01,Mwh
2022-01-01 14:00:00,73530,62257.0,29927.0,2075.0,7816.0,1359.0,96365.0,103429.0,2022,1,01-01,Saturday,14,2022-01-01,Mwh
2022-01-01 15:00:00,75341,61667.0,32926.0,6940.0,8235.0,1622.0,96205.0,110729.0,2022,1,01-01,Saturday,15,2022-01-01,Mwh
2022-01-01 16:00:00,77585,60742.0,34176.0,16419.0,7705.0,2515.0,96043.0,115885.0,2022,1,01-01,Saturday,16,2022-01-01,Mwh
2022-01-01 17:00:00,80547,62104.0,33613.0,23070.0,7725.0,2473.0,95920.0,118028.0,2022,1,01-01,Saturday,17,2022-01-01,Mwh
2022-01-01 18:00:00,84575,62719.0,33858.0,24643.0,7478.0,2511.0,95839.0,119665.0,2022,1,01-01,Saturday,18,2022-01-01,Mwh
2022-01-01 19:00:00,85641,62206.0,33383.0,25375.0,7530.0,2443.0,95834.0,120630.0,2022,1,01-01,Saturday,19,2022-01-01,Mwh
2022-01-01 20:00:00,85143,61017.0,33516.0,25830.0,7578.0,2588.0,95777.0,121853.0,2022,1,01-01,Saturday,20,2022-01-01,Mwh
2022-01-01 21:00:00,85095,60881.0,33623.0,24571.0,7587.0,2759.0,95761.0,124284.0,2022,1,01-01,Saturday,21,2022-01-01,Mwh
2022-01-01 22:00:00,85302,61571.0,35908.0,20667.0,7482.0,2760.0,95771.0,129296.0,2022,1,01-01,Saturday,22,2022-01-01,Mwh
2022-01-01 23:00:00,86307,63423.0,38828.0,14290.0,7501.0,2819.0,95760.0,135456.0,2022,1,01-01,Saturday,23,2022-01-01,Mwh
2022-01-02 00:00:00,88416,64861.0,42831.0,5404.0,8153.0,2862.0,95770.0,139685.0,2022,1,01-02,Sunday,0,2022-01-02,Mwh
2022-01-02 01:00:00,89728,65564.0,45050.0,2946.0,9101.0,2867.0,95789.0,145149.0,2022,1,01-02,Sunday,1,2022-01-02,Mwh
2022-01-02 02:00:00,88608,65886.0,43590.0,111.0,8850.0,2835.0,95793.0,144397.0,2022,1,01-02,Sunday,2,2022-01-02,Mwh
2022-01-02 03:00:00,87469,65832.0,41245.0,100.0,8986.0,2862.0,95800.0,138854.0,2022,1,01-02,Sunday,3,2022-01-02,Mwh
2022-01-02 04:00:00,85552,65740.0,38770.0,88.0,8400.0,2723.0,95828.0,132597.0,2022,1,01-02,Sunday,4,2022-01-02,Mwh
