unit,year,month,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Gwh,2021,1,2037.06975,0.0,4320.029,358.966874,0.0,1120.401244,0.0,1449.61325,6357.09875,2928.9813679999997,9286.080118,0.21936809979179206,0.0,0.4652155640598147,0.038656448085579616,0.0,0.12065384206929583,0.0,0.1561060459935179,0.6845836638516067,0.3154163361483933
Gwh,2021,2,1411.22525,0.0,4343.0105,324.537499,0.0,1124.771996,0.0,1521.296,5754.23575,2970.6054950000002,8724.841245000001,0.16174795739793427,0.0,0.4977753036468,0.03719695177101185,0.0,0.12891604149755503,0.0,0.1743637456866987,0.6595232610447342,0.34047673895526565
Gwh,2021,3,1579.61875,0.0,4505.92025,360.254,0.0,947.633252,0.0,1914.416749,6085.539,3222.304001,9307.843001,0.1697083577613301,0.0,0.48409929663788925,0.03870434857585111,0.0,0.1018101886654287,0.0,0.20567780835950095,0.6538076543992193,0.34619234560078077
Gwh,2021,4,1146.8885,0.0,3361.78775,332.88275,0.0,873.882871,0.0,1781.8035,4508.67625,2988.5691210000005,7497.245371,0.15297465178827746,0.0,0.4484030578755884,0.04440067431801279,0.0,0.1165605269343665,0.0,0.23766108908375488,0.6013777096638658,0.3986222903361342
Gwh,2021,5,881.9925,0.0,3148.12575,332.568,0.0,796.189371,0.0,1914.51475,4030.11825,3043.2721210000004,7073.390371,0.12469161939881854,0.0,0.44506602702247494,0.04701677449663833,0.0,0.11256120887435749,0.0,0.27066437020771067,0.5697576464212935,0.43024235357870655
Gwh,2021,6,640.30275,0.0,3968.3425,321.84,0.0,488.820373,0.0,1672.857,4608.64525,2483.517373,7092.162622999999,0.09028314549972213,0.0,0.5595391294512341,0.045379670082051925,0.0,0.06892402204861287,0.0,0.23587403291837913,0.6498222749509561,0.35017772504904393
Gwh,2021,7,1855.3725,0.0,3115.13725,340.633,0.0,662.190506,0.0,1611.77,4970.50975,2614.593506,7585.103256,0.2446074150055051,0.0,0.4106914757601818,0.04490815596090284,0.0,0.08730144912347651,0.0,0.21249150414993373,0.6552988907656869,0.34470110923431313
Gwh,2021,8,1986.606,0.0,1603.6385,350.457,0.0,940.846625,0.0,1458.7755619999998,3590.2445,2750.079187,6340.323687,0.3133287980349133,0.0,0.2529269133826795,0.05527430732260026,0.0,0.14839094523345586,0.0,0.23007903602635102,0.5662557114175928,0.43374428858240716
Gwh,2021,9,1811.40875,0.0,2941.8755,339.16225,0.0,610.8292700000001,0.0,1406.6784380000001,4753.28425,2356.669958,7109.954208000001,0.2547708040034679,0.0,0.41376855798731466,0.04770245209432999,0.0,0.08591184304853965,0.0,0.19784634286634775,0.6685393619907825,0.3314606380092173
Gwh,2021,10,2309.0275,0.0,2337.4195,352.334626,0.0,1251.595127,0.0,1458.90525,4646.447,3062.835003,7709.282003,0.29951265229387924,0.0,0.3031954855316505,0.04570265114998933,0.0,0.1623491171438472,0.0,0.18924009388063373,0.6027081378255298,0.39729186217447027
Gwh,2021,11,2220.74025,0.0,4276.29875,346.218,0.0,988.035351,0.0,1435.74775,6497.039,2770.001101,9267.040101,0.23963857130178612,0.0,0.46145249220822376,0.03736014911197372,0.0,0.10661822331958849,0.0,0.1549305640584278,0.7010910635100099,0.29890893648999
Gwh,2021,12,2652.20025,0.0,3776.461,358.845499,0.0,1224.3583840000001,0.0,1634.2365,6428.66125,3217.4403830000006,9646.101633000002,0.2749504774992867,0.0,0.3915012658668718,0.03720109041484323,0.0,0.1269277922400675,0.0,0.16941937397893053,0.6664517433661585,0.3335482566338413
