country,type,ef
Brazil,coal,1249.5502343503686
Brazil,gas,746.6824571118055
Brazil,oil,990.4971369850482
China,coal,980.6280413483582
China,gas,585.9850490984093
China,oil,777.3271059468696
EU27&UK,coal,1170.7864194861315
EU27&UK,gas,699.616275058786
EU27&UK,oil,928.0624056902263
France,coal,1157.1291140384021
France,gas,691.4552022912403
France,oil,917.2364928353188
Germany,coal,1285.2880661869815
Germany,gas,768.0379907702695
Germany,oil,1018.8259061238269
India,coal,1219.8107085005836
India,gas,728.9112770308365
India,oil,966.9231225919258
Italy,coal,1026.3040065329874
Italy,gas,613.2792234160535
Italy,oil,813.533663715173
Japan,coal,1003.2173775147112
Japan,gas,599.4835548563517
Japan,oil,795.233287054344
Russia,coal,38700.50126784289
Russia,gas,23125.909294198802
Russia,oil,30677.226614753516
Spain,coal,962.3624363960512
Spain,gas,575.0702363830062
Spain,oil,762.8482727529672
United Kingdom,coal,1027.783262862962
United Kingdom,gas,614.1631692717699
United Kingdom,oil,814.7062449523479
United States,coal,953.9109491663529
United States,gas,570.0199574286743
United States,oil,756.1489231196699
