datetime,Nuclear,region,Wind,Hydro,Coal,Natural gas,Petroleum,Solar,Other
2022-06-01 00:00:00,32468,MIDA,4986,5781,27455,55527,348,66,2482
2022-06-01 01:00:00,32519,MIDA,3993,4112,27386,54618,300,49,2322
2022-06-01 02:00:00,32519,MIDA,3677,1568,27028,49555,250,44,1773
2022-06-01 03:00:00,32552,MIDA,3786,1019,26081,43920,250,44,892
2022-06-01 04:00:00,32229,MIDA,6362,1183,19408,31818,213,4,796
2022-06-01 05:00:00,32627,MIDA,3210,575,20863,37751,213,44,734
2022-06-01 06:00:00,32667,MIDA,3110,573,19675,35390,212,44,733
2022-06-01 07:00:00,32705,MIDA,2884,571,18949,33698,213,44,713
2022-06-01 08:00:00,32790,MIDA,2726,621,18454,33403,216,44,714
2022-06-01 09:00:00,32844,MIDA,3214,686,18942,34450,215,44,801
2022-06-01 10:00:00,32890,MIDA,3516,717,20092,36009,219,185,768
2022-06-01 11:00:00,32895,MIDA,3592,744,20211,39575,216,1789,860
2022-06-01 12:00:00,32854,MIDA,2776,853,20496,42301,216,3482,1117
2022-06-01 13:00:00,32828,MIDA,3060,757,21251,44685,212,4172,1379
2022-06-01 14:00:00,32781,MIDA,2441,826,22442,47929,215,4273,2088
2022-06-01 15:00:00,32726,MIDA,2341,1112,22983,49156,246,4427,2211
2022-06-01 16:00:00,32696,MIDA,2362,3485,23273,50487,401,4485,2113
2022-06-01 17:00:00,32611,MIDA,2184,4634,23241,52773,396,4419,2107
2022-06-01 18:00:00,32578,MIDA,2354,5324,23797,54104,395,4163,2113
2022-06-01 19:00:00,32569,MIDA,2115,5669,24173,55652,395,3893,2135
2022-06-01 20:00:00,32580,MIDA,1896,5875,24377,56481,393,3769,2245
2022-06-01 21:00:00,32603,MIDA,1466,5669,24779,56107,416,3470,2206
2022-06-01 22:00:00,32625,MIDA,1792,5478,23739,55332,416,2095,2165
2022-06-01 23:00:00,32646,MIDA,1458,4429,23784,54133,419,553,2027
2022-06-02 00:00:00,32737,MIDA,1316,4082,22723,51671,275,60,1835
2022-06-02 01:00:00,32807,MIDA,1567,2459,22091,50043,277,44,1533
2022-06-02 02:00:00,33013,MIDA,1936,1045,20797,45994,260,44,1161
2022-06-02 03:00:00,33055,MIDA,1900,1014,20038,40664,260,44,700
2022-06-02 04:00:00,32585,MIDA,3080,572,23640,40452,254,44,738
2022-06-02 05:00:00,33080,MIDA,1563,619,16799,36200,223,44,701
2022-06-02 06:00:00,33111,MIDA,1399,570,16351,34296,221,44,707
2022-06-02 07:00:00,33108,MIDA,1010,600,15271,34064,218,44,706
