datetime,Hydro,region,Nuclear,Other,Solar,Petroleum,Natural gas,Coal
2022-06-01 00:00:00,2671,CAR,11796,824,462,0,11163,8360
2022-06-01 01:00:00,2310,CAR,11794,845,17,0,10325,8392
2022-06-01 02:00:00,1516,CAR,11804,697,0,0,9723,8107
2022-06-01 03:00:00,804,CAR,11825,699,1,0,7869,7532
2022-06-01 04:00:00,711,CAR,11852,691,0,0,6245,6923
2022-06-01 05:00:00,425,CAR,11884,687,-2,0,5073,6029
2022-06-01 06:00:00,-263,CAR,11899,691,-1,0,4961,5224
2022-06-01 07:00:00,-635,CAR,11905,685,-2,0,4879,4868
2022-06-01 08:00:00,-649,CAR,11903,678,0,0,4697,4441
2022-06-01 09:00:00,-641,CAR,11913,655,2,0,4659,4291
2022-06-01 10:00:00,-640,CAR,11915,658,-1,0,4826,4654
2022-06-01 11:00:00,-640,CAR,11914,695,76,-1,4924,5425
2022-06-01 12:00:00,-602,CAR,11911,647,1039,-1,4925,5852
2022-06-01 13:00:00,-604,CAR,11913,627,2404,0,4627,5702
2022-06-01 14:00:00,-267,CAR,11897,637,3297,0,4876,6104
2022-06-01 15:00:00,411,CAR,11891,648,3858,0,5370,6831
2022-06-01 16:00:00,700,CAR,11888,631,4195,0,6144,7924
2022-06-01 17:00:00,820,CAR,11883,633,4184,0,7663,8466
2022-06-01 18:00:00,1043,CAR,11890,635,4012,0,9324,8681
2022-06-01 19:00:00,1305,CAR,11878,687,3801,0,10068,8769
2022-06-01 20:00:00,1731,CAR,11860,711,3450,0,10447,8805
2022-06-01 21:00:00,2308,CAR,11862,813,3004,0,10631,8889
2022-06-01 22:00:00,2657,CAR,11856,845,2349,0,10899,8817
2022-06-01 23:00:00,2919,CAR,11862,834,1225,0,9831,8840
2022-06-02 00:00:00,2745,CAR,11858,842,595,0,12837,8819
2022-06-02 01:00:00,2112,CAR,11860,894,11,-1,10679,8715
2022-06-02 02:00:00,1380,CAR,11860,845,2,0,10478,8355
2022-06-02 03:00:00,939,CAR,11866,675,-1,0,8964,7767
2022-06-02 04:00:00,716,CAR,11868,666,1,0,7482,6705
2022-06-02 05:00:00,598,CAR,11883,665,0,0,6052,6283
2022-06-02 06:00:00,461,CAR,11886,660,0,0,5053,5846
2022-06-02 07:00:00,-182,CAR,11900,654,-2,0,5083,5532
2022-06-02 08:00:00,-618,CAR,11896,647,-5,0,5024,5253
2022-06-02 09:00:00,-660,CAR,11892,664,1,0,5065,5042
2022-06-02 10:00:00,-645,CAR,11906,665,-4,0,5119,5328
2022-06-02 11:00:00,-627,CAR,11905,699,84,0,5185,5707
2022-06-02 12:00:00,-352,CAR,11905,633,1032,0,5131,5889
2022-06-02 13:00:00,-496,CAR,11908,629,2438,0,4911,5925
2022-06-02 14:00:00,240,CAR,11895,616,3342,0,4948,6262
2022-06-02 15:00:00,651,CAR,11893,625,3816,0,6024,6854
2022-06-02 16:00:00,726,CAR,11885,626,4213,0,7554,7398
2022-06-02 17:00:00,945,CAR,11882,627,4306,0,8900,7808
2022-06-02 18:00:00,1389,CAR,11885,626,4123,0,9735,8365
2022-06-02 19:00:00,1889,CAR,11877,677,3903,0,9888,8702
2022-06-02 20:00:00,2114,CAR,11890,670,3525,0,9990,8777
2022-06-02 21:00:00,2329,CAR,11899,788,3046,-1,10363,8570
2022-06-02 22:00:00,2468,CAR,11911,783,2219,0,10474,8420
2022-06-02 23:00:00,2424,CAR,11910,789,1248,0,10533,8448
2022-06-03 00:00:00,1910,CAR,11913,791,407,0,10509,8676
2022-06-03 01:00:00,1603,CAR,11914,738,6,0,10186,8315
2022-06-03 02:00:00,1237,CAR,11924,656,1,0,9742,7864
2022-06-03 03:00:00,924,CAR,11921,660,1,0,8494,7150
2022-06-03 04:00:00,756,CAR,11931,654,0,-1,7034,6425
2022-06-03 05:00:00,160,CAR,11970,659,-1,0,6016,5745
2022-06-03 06:00:00,-560,CAR,11965,652,0,0,5521,5222
2022-06-03 07:00:00,-762,CAR,11969,643,1,-1,5180,4831
2022-06-03 08:00:00,-757,CAR,11965,631,-4,0,4946,4394
2022-06-03 09:00:00,-769,CAR,11965,623,0,0,4877,4177
2022-06-03 10:00:00,-498,CAR,11975,633,0,0,4983,4207
2022-06-03 11:00:00,-93,CAR,11974,677,73,0,5045,4376
2022-06-03 12:00:00,355,CAR,11966,630,951,-1,5240,4718
2022-06-03 13:00:00,375,CAR,11930,617,2153,0,5172,5203
2022-06-03 14:00:00,431,CAR,11935,611,2861,0,5459,5685
2022-06-03 15:00:00,416,CAR,11925,625,3184,0,5935,6528
2022-06-03 16:00:00,428,CAR,11926,623,3450,0,6923,6960
2022-06-03 17:00:00,1012,CAR,11915,621,3478,0,7574,7354
2022-06-03 18:00:00,1354,CAR,11912,618,3251,106,8612,7257
2022-06-03 19:00:00,1699,CAR,11902,619,3144,143,8789,7082
2022-06-03 20:00:00,1765,CAR,11901,616,2919,141,8643,6978
2022-06-03 21:00:00,1810,CAR,11900,615,2312,142,8552,6665
2022-06-03 22:00:00,1900,CAR,11903,602,1606,142,8363,6355
2022-06-03 23:00:00,1868,CAR,11910,620,836,141,8208,6132
2022-06-04 00:00:00,1721,CAR,11902,622,227,143,8129,5840
2022-06-04 01:00:00,1548,CAR,11918,654,3,142,7610,5746
2022-06-04 02:00:00,1045,CAR,11918,650,0,141,6985,5830
2022-06-04 03:00:00,486,CAR,11918,565,0,143,5795,5765
2022-06-04 04:00:00,282,CAR,11921,541,1,115,4903,5379
2022-06-04 05:00:00,-130,CAR,11929,554,1,0,4389,5115
2022-06-04 06:00:00,-973,CAR,11923,552,0,0,4154,4937
2022-06-04 07:00:00,-1094,CAR,11929,556,1,-1,4026,4375
2022-06-04 08:00:00,-1101,CAR,11860,559,-1,-1,3766,4086
2022-06-04 09:00:00,-1093,CAR,11820,564,-3,0,3473,4025
2022-06-04 10:00:00,-1061,CAR,11815,558,-5,0,3832,3991
2022-06-04 11:00:00,-979,CAR,11821,587,52,0,3794,3884
2022-06-04 12:00:00,-807,CAR,11819,478,759,0,3920,3726
2022-06-04 13:00:00,-79,CAR,11821,444,1617,0,3661,3627
2022-06-04 14:00:00,286,CAR,11858,417,2328,0,3754,3739
2022-06-04 15:00:00,291,CAR,11885,448,2975,0,4126,3988
2022-06-04 16:00:00,295,CAR,11883,501,3544,0,4328,4387
2022-06-04 17:00:00,464,CAR,11898,527,3851,0,4520,4869
2022-06-04 18:00:00,794,CAR,11901,524,3755,0,5238,4831
2022-06-04 19:00:00,1180,CAR,11906,524,3589,0,5903,4937
2022-06-04 20:00:00,1367,CAR,11914,524,3347,0,6808,4877
2022-06-04 21:00:00,1689,CAR,11910,525,2804,0,7469,4984
2022-06-04 22:00:00,2232,CAR,11918,521,2301,0,7724,5015
2022-06-04 23:00:00,2358,CAR,11935,525,1461,0,8071,5110
2022-06-05 00:00:00,2189,CAR,11925,523,444,0,8126,5306
2022-06-05 01:00:00,2208,CAR,11929,568,9,0,7673,4634
2022-06-05 02:00:00,2272,CAR,11733,563,0,0,6589,4576
2022-06-05 03:00:00,1435,CAR,11556,563,1,0,5600,4558
2022-06-05 04:00:00,619,CAR,11547,559,0,0,4798,4527
2022-06-05 05:00:00,-179,CAR,11578,551,1,0,4464,4206
2022-06-05 06:00:00,-805,CAR,11593,555,-6,0,4309,3918
2022-06-05 07:00:00,-977,CAR,11601,557,2,0,4291,3347
2022-06-05 08:00:00,-958,CAR,11596,470,1,0,4022,3116
2022-06-05 09:00:00,-957,CAR,11608,431,2,0,3953,2873
2022-06-05 10:00:00,-981,CAR,11667,424,-7,-1,3930,2707
2022-06-05 11:00:00,-1013,CAR,11730,455,80,0,3840,2674
