unit,datetime,date,year,month,month_date,weekday,hour,coal,gas,oil,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,gas.perc,oil.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Mwh,2015-01-01 02:00:00,2015-01-01,2015,1,01-01,Thursday,2,1185.0,529.0,13.0,,0.0,2463.0,0.0,229.0,1727.0,2692.0,4419.0,0.2681602172437203,0.11971034170626839,0.0029418420457116997,,0.0,0.5573659198913782,0.0,0.05182167911292147,0.39081240099570036,0.6091875990042996
Mwh,2015-01-01 03:00:00,2015-01-01,2015,1,01-01,Thursday,3,1016.0,543.0,8.0,,0.0,2358.0,0.0,228.0,1567.0,2586.0,4153.0,0.24464242716108836,0.13074885624849505,0.001926318324103058,,0.0,0.5677823260293764,0.0,0.05490007223693715,0.3773176017336865,0.6226823982663136
Mwh,2015-01-01 04:00:00,2015-01-01,2015,1,01-01,Thursday,4,943.0,491.0,9.0,,0.0,2387.0,0.0,228.0,1443.0,2615.0,4058.0,0.23238048299655004,0.12099556431739773,0.0022178413011335633,,0.0,0.5882207984228685,0.0,0.056185312962050274,0.35559388861508134,0.6444061113849187
Mwh,2015-01-01 05:00:00,2015-01-01,2015,1,01-01,Thursday,5,802.0,475.0,7.0,,0.0,2594.0,0.0,223.0,1284.0,2817.0,4101.0,0.1955620580346257,0.11582540843696659,0.001706900755913192,,0.0,0.6325286515484029,0.0,0.05437698122409169,0.3130943672275055,0.6869056327724945
Mwh,2015-01-01 06:00:00,2015-01-01,2015,1,01-01,Thursday,6,811.0,478.0,7.0,,0.0,3092.0,0.0,223.0,1296.0,3315.0,4611.0,0.17588375623509,0.10366514855779657,0.0015181088700932553,,0.0,0.6705703751897636,0.0,0.04836261114725656,0.2810670136629798,0.7189329863370202
Mwh,2015-01-01 07:00:00,2015-01-01,2015,1,01-01,Thursday,7,750.0,480.0,7.0,,0.0,3271.0,0.0,220.0,1237.0,3491.0,4728.0,0.15862944162436549,0.10152284263959391,0.0014805414551607445,,0.0,0.6918358714043993,0.0,0.046531302876480544,0.2616328257191201,0.7383671742808798
Mwh,2015-01-01 08:00:00,2015-01-01,2015,1,01-01,Thursday,8,749.0,468.0,7.0,,0.0,3502.0,0.0,225.0,1224.0,3727.0,4951.0,0.15128256917794386,0.09452635831145223,0.0014138557867097556,,0.0,0.7073318521510806,0.0,0.045445364572813576,0.24722278327610583,0.7527772167238942
Mwh,2015-01-01 09:00:00,2015-01-01,2015,1,01-01,Thursday,9,728.0,465.0,10.0,,0.0,3706.0,0.0,224.0,1203.0,3930.0,5133.0,0.14182739138905123,0.09059029807130334,0.0019481784531463083,,0.0,0.7219949347360218,0.0,0.043639197350477305,0.23436586791350086,0.7656341320864991
Mwh,2015-01-01 10:00:00,2015-01-01,2015,1,01-01,Thursday,10,807.0,464.0,19.0,,0.0,3848.0,2.0,223.0,1290.0,4073.0,5363.0,0.15047548014171172,0.08651873951146746,0.0035427932127540555,,0.0,0.7175088569830319,0.00037292560134253216,0.04158120454969234,0.24053701286593324,0.7594629871340668
Mwh,2015-01-01 11:00:00,2015-01-01,2015,1,01-01,Thursday,11,930.0,471.0,22.0,,0.0,3867.0,6.0,218.0,1423.0,4091.0,5514.0,0.16866158868335146,0.0854189336235038,0.003989844033369605,,0.0,0.7013057671381937,0.001088139281828074,0.039535727239753356,0.2580703663402249,0.7419296336597752
Mwh,2015-01-01 12:00:00,2015-01-01,2015,1,01-01,Thursday,12,969.0,530.0,23.0,,0.0,3906.0,8.0,218.0,1522.0,4132.0,5654.0,0.17138309161655466,0.0937389458790237,0.004067916519278387,,0.0,0.6908383445348426,0.0014149274849663955,0.03855677396533427,0.26918995401485674,0.7308100459851432
Mwh,2015-01-01 13:00:00,2015-01-01,2015,1,01-01,Thursday,13,1011.0,592.0,23.0,,0.0,3879.0,8.0,222.0,1626.0,4109.0,5735.0,0.17628596338273758,0.1032258064516129,0.004010462074978204,,0.0,0.6763731473408893,0.0013949433304272015,0.03870967741935484,0.2835222319093287,0.7164777680906713
Mwh,2015-01-01 14:00:00,2015-01-01,2015,1,01-01,Thursday,14,1067.0,579.0,24.0,,0.0,3838.0,6.0,221.0,1670.0,4065.0,5735.0,0.18605056669572798,0.10095902353966871,0.004184829991281604,,0.0,0.6692240627724498,0.001046207497820401,0.03853530950305144,0.2911944202266783,0.7088055797733217
Mwh,2015-01-01 15:00:00,2015-01-01,2015,1,01-01,Thursday,15,1174.0,529.0,28.0,,0.0,3578.0,2.0,228.0,1731.0,3808.0,5539.0,0.21195161581512909,0.09550460371908287,0.005055064090991154,,0.0,0.6459649756273695,0.0003610760064993681,0.041162664740927966,0.3125112836252031,0.6874887163747969
Mwh,2015-01-01 16:00:00,2015-01-01,2015,1,01-01,Thursday,16,1283.0,525.0,28.0,,0.0,3527.0,0.0,230.0,1836.0,3757.0,5593.0,0.22939388521365994,0.09386733416770963,0.0050062578222778474,,0.0,0.6306096906847846,0.0,0.04112283211156803,0.3282674772036474,0.6717325227963525
Mwh,2015-01-01 17:00:00,2015-01-01,2015,1,01-01,Thursday,17,1333.0,535.0,24.0,,0.0,3633.0,0.0,229.0,1892.0,3862.0,5754.0,0.2316649287452207,0.0929787973583594,0.004171011470281543,,0.0,0.6313868613138686,0.0,0.039798401112269725,0.32881473757386165,0.6711852624261383
Mwh,2015-01-01 18:00:00,2015-01-01,2015,1,01-01,Thursday,18,1345.0,536.0,25.0,,0.0,3835.0,0.0,227.0,1906.0,4062.0,5968.0,0.2253686327077748,0.08981233243967829,0.0041890080428954425,,0.0,0.6425938337801609,0.0,0.038036193029490614,0.31936997319034854,0.6806300268096515
