"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","417","n/e","n/e","158","0","n/e","n/e","n/e","n/e","256","666","340","50","n/e","n/e","27","n/e","0","n/e","25","2312"
"Portugal (PT)","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","423","n/e","n/e","154","0","n/e","n/e","n/e","n/e","26","732","197","51","n/e","n/e","28","n/e","0","n/e","25","2228"
"Portugal (PT)","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","420","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1104","175","44","n/e","n/e","28","n/e","0","n/e","25","2155"
"Portugal (PT)","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","418","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1254","147","46","n/e","n/e","27","n/e","0","n/e","25","2237"
"Portugal (PT)","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","414","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1484","144","45","n/e","n/e","27","n/e","0","n/e","25","2367"
"Portugal (PT)","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","418","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1623","188","48","n/e","n/e","27","n/e","0","n/e","25","2425"
"Portugal (PT)","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","416","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1705","321","46","n/e","n/e","28","n/e","0","n/e","25","2451"
"Portugal (PT)","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","406","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1544","347","41","n/e","n/e","27","n/e","2","n/e","25","2569"
"Portugal (PT)","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","403","n/e","n/e","156","0","n/e","n/e","n/e","n/e","0","1952","178","52","n/e","n/e","27","n/e","119","n/e","25","2717"
"Portugal (PT)","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","404","n/e","n/e","157","0","n/e","n/e","n/e","n/e","0","1749","186","67","n/e","n/e","27","n/e","419","n/e","25","2682"
"Portugal (PT)","01.01.2022 10:00 - 01.01.2022 11:00 (UTC)","406","n/e","n/e","156","0","n/e","n/e","n/e","n/e","0","1435","182","34","n/e","n/e","27","n/e","642","n/e","25","2471"
"Portugal (PT)","01.01.2022 11:00 - 01.01.2022 12:00 (UTC)","395","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1416","155","35","n/e","n/e","27","n/e","727","n/e","25","2319"
"Portugal (PT)","01.01.2022 12:00 - 01.01.2022 13:00 (UTC)","396","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1726","154","35","n/e","n/e","27","n/e","728","n/e","25","2308"
"Portugal (PT)","01.01.2022 13:00 - 01.01.2022 14:00 (UTC)","395","n/e","n/e","153","0","n/e","n/e","n/e","n/e","0","1742","155","33","n/e","n/e","27","n/e","675","n/e","25","2229"
"Portugal (PT)","01.01.2022 14:00 - 01.01.2022 15:00 (UTC)","395","n/e","n/e","150","0","n/e","n/e","n/e","n/e","0","1625","164","34","n/e","n/e","27","n/e","583","n/e","25","2104"
"Portugal (PT)","01.01.2022 15:00 - 01.01.2022 16:00 (UTC)","394","n/e","n/e","148","0","n/e","n/e","n/e","n/e","3","1510","167","33","n/e","n/e","28","n/e","411","n/e","25","2061"
"Portugal (PT)","01.01.2022 16:00 - 01.01.2022 17:00 (UTC)","387","n/e","n/e","153","0","n/e","n/e","n/e","n/e","114","288","278","34","n/e","n/e","26","n/e","162","n/e","25","2240"
"Portugal (PT)","01.01.2022 17:00 - 01.01.2022 18:00 (UTC)","389","n/e","n/e","154","0","n/e","n/e","n/e","n/e","301","3","428","97","n/e","n/e","26","n/e","3","n/e","25","2554"
"Portugal (PT)","01.01.2022 18:00 - 01.01.2022 19:00 (UTC)","386","n/e","n/e","155","0","n/e","n/e","n/e","n/e","438","3","551","93","n/e","n/e","26","n/e","0","n/e","25","2755"
"Portugal (PT)","01.01.2022 19:00 - 01.01.2022 20:00 (UTC)","386","n/e","n/e","155","0","n/e","n/e","n/e","n/e","248","94","828","159","n/e","n/e","26","n/e","0","n/e","25","2847"
"Portugal (PT)","01.01.2022 20:00 - 01.01.2022 21:00 (UTC)","387","n/e","n/e","155","0","n/e","n/e","n/e","n/e","280","241","814","164","n/e","n/e","25","n/e","0","n/e","25","2911"
"Portugal (PT)","01.01.2022 21:00 - 01.01.2022 22:00 (UTC)","389","n/e","n/e","155","0","n/e","n/e","n/e","n/e","86","465","908","80","n/e","n/e","26","n/e","0","n/e","22","2675"
"Portugal (PT)","01.01.2022 22:00 - 01.01.2022 23:00 (UTC)","392","n/e","n/e","156","0","n/e","n/e","n/e","n/e","0","955","579","31","n/e","n/e","27","n/e","0","n/e","17","2493"
"Portugal (PT)","01.01.2022 23:00 - 02.01.2022 00:00 (UTC)","390","n/e","n/e","156","0","n/e","n/e","n/e","n/e","0","450","638","75","n/e","n/e","26","n/e","0","n/e","6","2240"
"Portugal (PT)","02.01.2022 00:00 - 02.01.2022 01:00 (UTC)","387","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1409","522","32","n/e","n/e","28","n/e","0","n/e","4","1944"
"Portugal (PT)","02.01.2022 01:00 - 02.01.2022 02:00 (UTC)","386","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1457","334","42","n/e","n/e","27","n/e","0","n/e","3","1653"
"Portugal (PT)","02.01.2022 02:00 - 02.01.2022 03:00 (UTC)","387","n/e","n/e","153","0","n/e","n/e","n/e","n/e","0","1327","115","34","n/e","n/e","26","n/e","0","n/e","3","1479"
"Portugal (PT)","02.01.2022 03:00 - 02.01.2022 04:00 (UTC)","393","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1408","107","38","n/e","n/e","26","n/e","0","n/e","2","1288"
"Portugal (PT)","02.01.2022 04:00 - 02.01.2022 05:00 (UTC)","389","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1163","107","38","n/e","n/e","26","n/e","0","n/e","2","1035"
"Portugal (PT)","02.01.2022 05:00 - 02.01.2022 06:00 (UTC)","389","n/e","n/e","177","0","n/e","n/e","n/e","n/e","0","821","105","43","n/e","n/e","25","n/e","0","n/e","1","675"
"Portugal (PT)","02.01.2022 06:00 - 02.01.2022 07:00 (UTC)","392","n/e","n/e","287","0","n/e","n/e","n/e","n/e","0","591","218","34","n/e","n/e","26","n/e","0","n/e","2","511"
"Portugal (PT)","02.01.2022 07:00 - 02.01.2022 08:00 (UTC)","386","n/e","n/e","412","0","n/e","n/e","n/e","n/e","43","435","308","62","n/e","n/e","25","n/e","1","n/e","2","380"
"Portugal (PT)","02.01.2022 08:00 - 02.01.2022 09:00 (UTC)","382","n/e","n/e","509","0","n/e","n/e","n/e","n/e","1","113","215","54","n/e","n/e","24","n/e","67","n/e","2","294"
"Portugal (PT)","02.01.2022 09:00 - 02.01.2022 10:00 (UTC)","379","n/e","n/e","639","0","n/e","n/e","n/e","n/e","0","287","213","50","n/e","n/e","25","n/e","302","n/e","5","258"
