datetime,Wind,region,Nuclear,Other,Solar,Petroleum,Natural gas,Coal,Hydro
2022-04-01 00:00:00,5081,MIDA,28815,540,3,224,34759,18060,5073
2022-04-01 01:00:00,4818,MIDA,28844,537,3,226,35086,17915,3176
2022-04-01 02:00:00,4658,MIDA,28877,539,3,225,33343,17877,1478
2022-04-01 03:00:00,4857,MIDA,28876,546,3,230,29916,16929,937
2022-04-01 04:00:00,7432,MIDA,29100,536,15,218,25239,15070,877
2022-04-01 05:00:00,5026,MIDA,28859,568,3,233,25272,15067,948
2022-04-01 06:00:00,5152,MIDA,28682,564,3,237,24772,14856,944
2022-04-01 07:00:00,5240,MIDA,28508,560,3,236,25307,14677,1196
2022-04-01 08:00:00,5366,MIDA,28543,565,3,236,25422,14964,1238
2022-04-01 09:00:00,4754,MIDA,28525,566,3,234,28728,16319,1233
2022-04-01 10:00:00,4544,MIDA,28550,552,3,233,31988,16625,2966
2022-04-01 11:00:00,4335,MIDA,28558,580,110,227,35351,17570,4768
2022-04-01 12:00:00,4408,MIDA,28575,649,1086,248,36370,18392,3448
2022-04-01 13:00:00,4667,MIDA,28536,925,1949,288,34633,18313,3759
2022-04-01 14:00:00,4792,MIDA,28547,946,2398,249,32900,18366,2905
2022-04-01 15:00:00,4299,MIDA,28516,864,2494,244,32594,18244,3054
2022-04-01 16:00:00,4555,MIDA,28503,832,2380,244,31371,17840,2905
2022-04-01 17:00:00,4390,MIDA,28550,928,2447,245,32665,17753,1806
2022-04-01 18:00:00,4047,MIDA,28579,1001,2450,221,32571,17690,1438
2022-04-01 19:00:00,4014,MIDA,28516,961,2568,222,31712,17751,1447
2022-04-01 20:00:00,3613,MIDA,28509,984,2390,222,32388,17974,1683
2022-04-01 21:00:00,3350,MIDA,28565,794,2220,338,31068,17915,1972
2022-04-01 22:00:00,2884,MIDA,28554,701,999,339,32241,17804,2471
2022-04-01 23:00:00,2459,MIDA,28552,566,50,337,33143,17991,4271
2022-04-02 00:00:00,2324,MIDA,28564,572,3,340,34601,18416,4857
2022-04-02 01:00:00,2310,MIDA,28522,566,3,341,34406,18279,4174
2022-04-02 02:00:00,2405,MIDA,28444,580,3,342,34297,18314,2347
2022-04-02 03:00:00,2816,MIDA,28330,546,3,340,32245,18220,1120
2022-04-02 04:00:00,4791,MIDA,28884,555,3,232,26218,15208,941
2022-04-02 05:00:00,3020,MIDA,28110,578,3,218,27898,17570,1111
2022-04-02 06:00:00,3192,MIDA,28046,606,3,223,27848,16814,1248
2022-04-02 07:00:00,3104,MIDA,27928,603,3,225,27699,16701,1243
2022-04-02 08:00:00,2727,MIDA,27952,625,3,225,28378,16946,1260
2022-04-02 09:00:00,2606,MIDA,27934,821,3,224,30520,16569,1248
2022-04-02 10:00:00,3089,MIDA,27945,859,3,223,32510,16563,2709
2022-04-02 11:00:00,3410,MIDA,27942,894,212,220,33634,16899,3863
2022-04-02 12:00:00,4274,MIDA,27899,1099,1868,223,33116,17035,3785
2022-04-02 13:00:00,4191,MIDA,27882,1243,2984,224,30278,16822,2576
2022-04-02 14:00:00,4244,MIDA,27886,1183,3270,223,28717,17242,1952
2022-04-02 15:00:00,4762,MIDA,27896,1005,3194,222,26891,16791,1561
2022-04-02 16:00:00,5079,MIDA,27832,1013,3150,222,25713,16877,1529
2022-04-02 17:00:00,4305,MIDA,27855,1008,3164,222,25342,16955,1273
2022-04-02 18:00:00,3955,MIDA,27859,1003,3178,221,24646,16612,1271
2022-04-02 19:00:00,4450,MIDA,27863,991,3112,220,23485,16318,1379
2022-04-02 20:00:00,4845,MIDA,27850,1000,2839,220,23802,15905,1799
2022-04-02 21:00:00,5620,MIDA,27836,969,2277,219,24462,15873,2024
2022-04-02 22:00:00,6087,MIDA,27842,718,651,223,26000,16264,2235
2022-04-02 23:00:00,5752,MIDA,27834,615,11,218,26985,16812,3128
2022-04-03 00:00:00,4821,MIDA,27847,608,3,220,28722,17885,4400
2022-04-03 01:00:00,3984,MIDA,27849,614,3,224,28279,18144,3013
2022-04-03 02:00:00,3913,MIDA,27846,619,3,224,27532,18295,1856
2022-04-03 03:00:00,3175,MIDA,27907,608,3,224,27373,17956,1226
2022-04-03 04:00:00,2860,MIDA,28206,575,3,217,29383,17546,1580
2022-04-03 05:00:00,3396,MIDA,27955,615,3,232,24704,17307,1207
2022-04-03 06:00:00,4064,MIDA,27955,617,3,232,24057,16349,1204
2022-04-03 07:00:00,4429,MIDA,27977,607,3,232,23861,16370,1199
2022-04-03 08:00:00,3706,MIDA,27987,600,3,233,24819,16249,1291
2022-04-03 09:00:00,3238,MIDA,27994,600,3,230,25536,16505,1435
2022-04-03 10:00:00,2943,MIDA,28002,593,3,230,26024,16694,1596
2022-04-03 11:00:00,2636,MIDA,28035,611,150,226,27842,17098,1653
2022-04-03 12:00:00,2820,MIDA,28030,785,1297,229,28233,17034,1620
2022-04-03 13:00:00,2657,MIDA,28034,961,2148,225,28219,16919,1699
2022-04-03 14:00:00,2323,MIDA,28032,1099,2626,227,27974,17107,1717
2022-04-03 15:00:00,2120,MIDA,28024,1125,2694,226,28311,17158,1369
2022-04-03 16:00:00,2145,MIDA,28018,1064,2883,226,27224,16839,1348
2022-04-03 17:00:00,2442,MIDA,28027,1092,2956,224,26346,16725,1348
2022-04-03 18:00:00,2458,MIDA,28011,1090,2855,222,26608,16702,1342
2022-04-03 19:00:00,2357,MIDA,28011,1107,2794,222,26660,16315,1356
2022-04-03 20:00:00,2504,MIDA,28021,1137,2774,221,27330,16186,1775
2022-04-03 21:00:00,2335,MIDA,27749,1051,2459,222,27686,16197,1993
2022-04-03 22:00:00,2092,MIDA,27662,881,1099,319,30236,17017,2318
2022-04-03 23:00:00,1904,MIDA,27516,746,65,349,31021,17221,3891
2022-04-04 00:00:00,1735,MIDA,27388,723,3,310,32476,17601,4577
2022-04-04 01:00:00,1839,MIDA,27320,751,3,309,32369,17289,3626
2022-04-04 02:00:00,2154,MIDA,27279,743,3,220,31653,16524,1651
2022-04-04 03:00:00,3359,MIDA,27303,601,3,220,28859,16082,1135
2022-04-04 04:00:00,3002,MIDA,27935,612,3,228,25468,17760,1196
2022-04-04 05:00:00,4204,MIDA,27215,640,3,220,27844,15375,1265
2022-04-04 06:00:00,3947,MIDA,27152,656,3,223,28146,15117,1260
2022-04-04 07:00:00,3909,MIDA,26956,646,3,224,28537,15260,1201
2022-04-04 08:00:00,4174,MIDA,26954,642,3,227,29055,15307,1190
2022-04-04 09:00:00,3753,MIDA,26976,654,3,225,31381,15653,1371
2022-04-04 10:00:00,4029,MIDA,26989,645,3,224,35570,16092,4200
2022-04-04 11:00:00,4778,MIDA,27012,1045,231,224,40164,16872,4858
2022-04-04 12:00:00,4796,MIDA,27153,1207,1674,224,38931,17180,4419
2022-04-04 13:00:00,5221,MIDA,27282,976,2524,227,35054,16897,3531
2022-04-04 14:00:00,5427,MIDA,27292,916,2620,398,34289,16739,3288
2022-04-04 15:00:00,5483,MIDA,27296,986,2684,396,33095,16870,2935
2022-04-04 16:00:00,5588,MIDA,27283,1106,2809,398,31708,16922,2723
2022-04-04 17:00:00,5297,MIDA,27283,1186,2830,339,31081,16916,2194
2022-04-04 18:00:00,5710,MIDA,27277,932,2737,700,30075,16881,1286
2022-04-04 19:00:00,5438,MIDA,27266,897,2652,698,30611,17527,1336
2022-04-04 20:00:00,4487,MIDA,27261,1160,2096,706,30255,17590,1776
2022-04-04 21:00:00,3060,MIDA,27282,1193,1660,786,32153,17709,2996
2022-04-04 22:00:00,1964,MIDA,27257,1110,831,767,33538,17311,3185
2022-04-04 23:00:00,1548,MIDA,27259,1102,57,832,35636,17570,4117
2022-04-05 00:00:00,1408,MIDA,27253,1101,3,918,36312,18020,4581
2022-04-05 01:00:00,1334,MIDA,27252,1108,3,730,35022,17906,3828
2022-04-05 02:00:00,1026,MIDA,27276,1108,3,726,33334,17765,1724
2022-04-05 03:00:00,748,MIDA,27261,676,3,228,31702,17926,1431
2022-04-05 04:00:00,3632,MIDA,27201,649,3,219,27823,15972,1254
2022-04-05 05:00:00,498,MIDA,27253,572,3,230,28967,16954,1163
2022-04-05 06:00:00,516,MIDA,27274,576,3,232,28475,16903,1169
2022-04-05 07:00:00,649,MIDA,27266,625,3,232,28083,17071,1163
2022-04-05 08:00:00,900,MIDA,27266,746,3,235,28721,17336,1160
2022-04-05 09:00:00,1190,MIDA,27282,1217,3,235,29913,17043,1400
2022-04-05 10:00:00,1736,MIDA,27263,1652,3,232,33336,16543,3922
2022-04-05 11:00:00,2155,MIDA,27283,1648,114,237,36043,17018,4815
2022-04-05 12:00:00,2452,MIDA,27266,1569,1025,246,36805,17549,4599
2022-04-05 13:00:00,2213,MIDA,27240,1541,1780,232,36028,17701,3068
2022-04-05 14:00:00,2712,MIDA,27237,1805,1998,231,34086,17646,3203
2022-04-05 15:00:00,2621,MIDA,27224,1952,2189,264,34964,17744,1753
2022-04-05 16:00:00,2309,MIDA,27223,1876,2022,255,33027,17863,1404
2022-04-05 17:00:00,2099,MIDA,27204,1919,1856,255,33166,17713,1305
2022-04-05 18:00:00,2179,MIDA,27199,1849,1480,256,33006,18116,1337
2022-04-05 19:00:00,2331,MIDA,27207,1889,1023,266,33187,18102,1333
2022-04-05 20:00:00,2588,MIDA,27194,1794,518,259,32976,17970,1648
2022-04-05 21:00:00,2793,MIDA,27185,1778,257,251,33333,17863,2162
2022-04-05 22:00:00,3486,MIDA,27185,1782,88,249,33670,17909,2578
2022-04-05 23:00:00,3452,MIDA,27162,1779,9,249,32871,17844,3618
2022-04-06 00:00:00,3901,MIDA,27174,1792,2,248,32695,18238,3673
2022-04-06 01:00:00,4339,MIDA,27186,1786,2,247,31442,17640,2681
2022-04-06 02:00:00,4771,MIDA,27176,1141,2,247,29248,17580,1073
2022-04-06 03:00:00,4890,MIDA,27180,603,2,216,26243,17136,1057
2022-04-06 04:00:00,524,MIDA,27277,569,3,230,29557,17454,1158
2022-04-06 05:00:00,5551,MIDA,27192,569,2,221,24248,16367,1055
2022-04-06 06:00:00,5624,MIDA,27181,566,2,221,23661,15918,1055
2022-04-06 07:00:00,5985,MIDA,27165,558,2,221,23365,15153,1056
2022-04-06 08:00:00,5692,MIDA,27168,567,2,222,24600,15486,1058
2022-04-06 09:00:00,5425,MIDA,27180,670,2,224,25684,16385,1238
2022-04-06 10:00:00,3862,MIDA,27176,979,2,224,29102,17352,2294
2022-04-06 11:00:00,3454,MIDA,27171,1212,121,226,31999,18515,3134
2022-04-06 12:00:00,3522,MIDA,27157,1365,915,228,32482,18610,3349
2022-04-06 13:00:00,4031,MIDA,27164,1281,1596,226,32855,18925,2959
2022-04-06 14:00:00,4854,MIDA,27128,1618,1743,226,30924,19116,2944
2022-04-06 15:00:00,5603,MIDA,27138,1635,1731,225,31088,18933,2280
2022-04-06 16:00:00,5416,MIDA,27171,1655,1926,221,30169,18814,1878
2022-04-06 17:00:00,6382,MIDA,27166,1712,1985,223,30580,18100,1372
2022-04-06 18:00:00,6117,MIDA,27165,1704,1890,223,30632,18086,1193
2022-04-06 19:00:00,6834,MIDA,27167,1587,1709,218,28931,17728,1285
2022-04-06 20:00:00,6658,MIDA,27181,1798,1738,222,28977,17625,1847
2022-04-06 21:00:00,6832,MIDA,27163,1788,1640,221,29648,17849,2325
2022-04-06 22:00:00,7363,MIDA,27182,1642,831,223,30048,18033,2394
2022-04-06 23:00:00,6544,MIDA,27186,1564,80,223,30048,17995,3664
2022-04-07 00:00:00,6344,MIDA,27193,1664,2,228,30625,19004,3609
2022-04-07 01:00:00,6383,MIDA,27173,1506,2,229,29570,19440,2182
2022-04-07 02:00:00,6737,MIDA,27214,713,2,228,27035,18950,1085
2022-04-07 03:00:00,6912,MIDA,27227,548,2,227,25419,17966,1083
2022-04-07 04:00:00,5534,MIDA,27191,574,2,216,25317,16846,1053
