datetime,data,type,unit,network,region
2007-08-01 23:40:00,194.3,pumps,MW,nem,NSW1
2007-08-01 23:45:00,190.6,pumps,MW,nem,NSW1
2007-08-01 23:50:00,190.6,pumps,MW,nem,NSW1
2007-08-01 23:55:00,191.4,pumps,MW,nem,NSW1
2007-08-02 00:00:00,192.1,pumps,MW,nem,NSW1
2007-08-02 00:05:00,191.4,pumps,MW,nem,NSW1
2007-08-02 00:10:00,342.4,pumps,MW,nem,NSW1
2007-08-02 00:15:00,387.1,pumps,MW,nem,NSW1
2007-08-02 00:20:00,387.1,pumps,MW,nem,NSW1
2007-08-02 00:25:00,390.0,pumps,MW,nem,NSW1
2007-08-02 00:30:00,387.8,pumps,MW,nem,NSW1
2007-08-02 00:35:00,389.3,pumps,MW,nem,NSW1
2007-08-02 00:40:00,571.1,pumps,MW,nem,NSW1
2007-08-02 00:45:00,577.0,pumps,MW,nem,NSW1
2007-08-02 00:50:00,582.1,pumps,MW,nem,NSW1
2007-08-02 00:55:00,578.4,pumps,MW,nem,NSW1
2007-08-02 01:00:00,577.7,pumps,MW,nem,NSW1
2007-08-02 01:05:00,574.8,pumps,MW,nem,NSW1
2007-08-02 01:10:00,572.6,pumps,MW,nem,NSW1
2007-08-02 01:15:00,577.0,pumps,MW,nem,NSW1
2007-08-02 01:20:00,581.4,pumps,MW,nem,NSW1
2007-08-02 01:25:00,582.1,pumps,MW,nem,NSW1
2007-08-02 01:30:00,579.9,pumps,MW,nem,NSW1
2007-08-02 01:35:00,577.7,pumps,MW,nem,NSW1
2007-08-02 01:40:00,582.1,pumps,MW,nem,NSW1
2007-08-02 01:45:00,577.0,pumps,MW,nem,NSW1
2007-08-02 01:50:00,579.9,pumps,MW,nem,NSW1
2007-08-02 01:55:00,577.0,pumps,MW,nem,NSW1
2007-08-02 02:00:00,579.2,pumps,MW,nem,NSW1
2007-08-02 02:05:00,582.1,pumps,MW,nem,NSW1
2007-08-02 02:10:00,579.2,pumps,MW,nem,NSW1
2007-08-02 02:15:00,572.6,pumps,MW,nem,NSW1
2007-08-02 02:20:00,574.8,pumps,MW,nem,NSW1
2007-08-02 02:25:00,576.3,pumps,MW,nem,NSW1
2007-08-02 02:30:00,576.3,pumps,MW,nem,NSW1
2007-08-02 02:35:00,582.8,pumps,MW,nem,NSW1
2007-08-02 02:40:00,574.8,pumps,MW,nem,NSW1
2007-08-02 02:45:00,576.3,pumps,MW,nem,NSW1
2007-08-02 02:50:00,574.8,pumps,MW,nem,NSW1
2007-08-02 02:55:00,575.5,pumps,MW,nem,NSW1
2007-08-02 03:00:00,576.3,pumps,MW,nem,NSW1
2007-08-02 03:05:00,574.8,pumps,MW,nem,NSW1
2007-08-02 03:10:00,577.7,pumps,MW,nem,NSW1
2007-08-02 03:15:00,574.8,pumps,MW,nem,NSW1
2007-08-02 03:20:00,575.5,pumps,MW,nem,NSW1
2007-08-02 03:25:00,579.2,pumps,MW,nem,NSW1
2007-08-02 03:30:00,576.3,pumps,MW,nem,NSW1
2007-08-02 03:35:00,575.5,pumps,MW,nem,NSW1
2007-08-02 03:40:00,576.3,pumps,MW,nem,NSW1
2007-08-02 03:45:00,574.8,pumps,MW,nem,NSW1
2007-08-02 03:50:00,574.1,pumps,MW,nem,NSW1
2007-08-02 03:55:00,574.8,pumps,MW,nem,NSW1
2007-08-02 04:00:00,578.4,pumps,MW,nem,NSW1
2007-08-02 04:05:00,575.5,pumps,MW,nem,NSW1
2007-08-02 04:10:00,576.3,pumps,MW,nem,NSW1
2007-08-02 04:15:00,572.6,pumps,MW,nem,NSW1
2007-08-02 04:20:00,574.8,pumps,MW,nem,NSW1
2007-08-02 04:25:00,576.3,pumps,MW,nem,NSW1
2007-08-02 04:30:00,574.8,pumps,MW,nem,NSW1
2007-08-02 04:35:00,572.6,pumps,MW,nem,NSW1
2007-08-02 04:40:00,577.0,pumps,MW,nem,NSW1
2007-08-02 04:45:00,576.3,pumps,MW,nem,NSW1
2007-08-02 04:50:00,577.0,pumps,MW,nem,NSW1
2007-08-02 04:55:00,572.6,pumps,MW,nem,NSW1
2007-08-02 05:00:00,575.5,pumps,MW,nem,NSW1
2007-08-02 05:05:00,576.3,pumps,MW,nem,NSW1
2007-08-02 05:10:00,571.9,pumps,MW,nem,NSW1
2007-08-02 05:15:00,574.1,pumps,MW,nem,NSW1
2007-08-02 05:20:00,574.1,pumps,MW,nem,NSW1
2007-08-02 05:25:00,577.7,pumps,MW,nem,NSW1
2007-08-02 05:30:00,575.5,pumps,MW,nem,NSW1
2007-08-02 05:35:00,576.3,pumps,MW,nem,NSW1
2007-08-02 05:40:00,384.9,pumps,MW,nem,NSW1
2007-08-02 05:45:00,384.2,pumps,MW,nem,NSW1
2007-08-02 05:50:00,384.9,pumps,MW,nem,NSW1
2007-08-02 05:55:00,384.9,pumps,MW,nem,NSW1
2007-08-02 06:00:00,380.5,pumps,MW,nem,NSW1
2007-08-02 06:05:00,384.2,pumps,MW,nem,NSW1
2007-08-02 06:10:00,192.8,pumps,MW,nem,NSW1
2007-08-02 06:15:00,193.5,pumps,MW,nem,NSW1
2007-08-02 06:20:00,196.5,pumps,MW,nem,NSW1
2007-08-02 06:25:00,194.3,pumps,MW,nem,NSW1
2007-08-02 06:30:00,0.0,pumps,MW,nem,NSW1
2007-08-02 06:35:00,0.0,pumps,MW,nem,NSW1
2007-08-02 06:40:00,0.0,pumps,MW,nem,NSW1
2007-08-02 06:45:00,0.0,pumps,MW,nem,NSW1
2007-08-02 06:50:00,0.0,pumps,MW,nem,NSW1
2007-08-02 06:55:00,0.0,pumps,MW,nem,NSW1
2007-08-02 07:00:00,0.0,pumps,MW,nem,NSW1
2007-08-02 07:05:00,0.0,pumps,MW,nem,NSW1
2007-08-02 07:10:00,0.0,pumps,MW,nem,NSW1
2007-08-02 07:15:00,0.0,pumps,MW,nem,NSW1
2007-08-02 07:20:00,0.0,pumps,MW,nem,NSW1
2007-08-02 07:25:00,0.0,pumps,MW,nem,NSW1
2007-08-02 07:30:00,0.0,pumps,MW,nem,NSW1
2007-08-02 07:35:00,0.0,pumps,MW,nem,NSW1
2007-08-02 07:40:00,0.0,pumps,MW,nem,NSW1
2007-08-02 07:45:00,0.0,pumps,MW,nem,NSW1
2007-08-02 07:50:00,0.0,pumps,MW,nem,NSW1
2007-08-02 07:55:00,0.0,pumps,MW,nem,NSW1
2007-08-02 08:00:00,0.0,pumps,MW,nem,NSW1
2007-08-02 08:05:00,0.0,pumps,MW,nem,NSW1
2007-08-02 08:10:00,0.0,pumps,MW,nem,NSW1
2007-08-02 08:15:00,0.0,pumps,MW,nem,NSW1
2007-08-02 08:20:00,0.0,pumps,MW,nem,NSW1
2007-08-02 08:25:00,0.0,pumps,MW,nem,NSW1
2007-08-02 08:30:00,0.0,pumps,MW,nem,NSW1
2007-08-02 08:35:00,0.0,pumps,MW,nem,NSW1
2007-08-02 08:40:00,0.0,pumps,MW,nem,NSW1
2007-08-02 08:45:00,0.0,pumps,MW,nem,NSW1
2007-08-02 08:50:00,0.0,pumps,MW,nem,NSW1
2007-08-02 08:55:00,0.0,pumps,MW,nem,NSW1
2007-08-02 09:00:00,0.0,pumps,MW,nem,NSW1
2007-08-02 09:05:00,0.0,pumps,MW,nem,NSW1
2007-08-02 09:10:00,0.0,pumps,MW,nem,NSW1
2007-08-02 09:15:00,0.0,pumps,MW,nem,NSW1
2007-08-02 09:20:00,0.0,pumps,MW,nem,NSW1
2007-08-02 09:25:00,0.0,pumps,MW,nem,NSW1
2007-08-02 09:30:00,0.0,pumps,MW,nem,NSW1
2007-08-02 09:35:00,0.0,pumps,MW,nem,NSW1
2007-08-02 09:40:00,0.0,pumps,MW,nem,NSW1
2007-08-02 09:45:00,0.0,pumps,MW,nem,NSW1
2007-08-02 09:50:00,0.0,pumps,MW,nem,NSW1
2007-08-02 09:55:00,0.0,pumps,MW,nem,NSW1
2007-08-02 10:00:00,0.0,pumps,MW,nem,NSW1
2007-08-02 10:05:00,0.0,pumps,MW,nem,NSW1
2007-08-02 10:10:00,0.0,pumps,MW,nem,NSW1
2007-08-02 10:15:00,0.0,pumps,MW,nem,NSW1
2007-08-02 10:20:00,0.0,pumps,MW,nem,NSW1
2007-08-02 10:25:00,0.0,pumps,MW,nem,NSW1
2007-08-02 10:30:00,0.0,pumps,MW,nem,NSW1
2007-08-02 10:35:00,0.0,pumps,MW,nem,NSW1
2007-08-02 10:40:00,0.0,pumps,MW,nem,NSW1
2007-08-02 10:45:00,0.0,pumps,MW,nem,NSW1
2007-08-02 10:50:00,0.0,pumps,MW,nem,NSW1
2007-08-02 10:55:00,0.0,pumps,MW,nem,NSW1
2007-08-02 11:00:00,0.0,pumps,MW,nem,NSW1
2007-08-02 11:05:00,0.0,pumps,MW,nem,NSW1
2007-08-02 11:10:00,0.0,pumps,MW,nem,NSW1
2007-08-02 11:15:00,0.0,pumps,MW,nem,NSW1
2007-08-02 11:20:00,0.0,pumps,MW,nem,NSW1
2007-08-02 11:25:00,0.0,pumps,MW,nem,NSW1
2007-08-02 11:30:00,0.0,pumps,MW,nem,NSW1
2007-08-02 11:35:00,0.0,pumps,MW,nem,NSW1
2007-08-02 11:40:00,0.0,pumps,MW,nem,NSW1
2007-08-02 11:45:00,0.0,pumps,MW,nem,NSW1
2007-08-02 11:50:00,0.0,pumps,MW,nem,NSW1
2007-08-02 11:55:00,0.0,pumps,MW,nem,NSW1
2007-08-02 12:00:00,0.0,pumps,MW,nem,NSW1
2007-08-02 12:05:00,0.0,pumps,MW,nem,NSW1
2007-08-02 12:10:00,0.0,pumps,MW,nem,NSW1
2007-08-02 12:15:00,0.0,pumps,MW,nem,NSW1
